variable,data_type,unit,nullable,key,domain,description
key,integer,-,no,PK,positive integer,"Surrogate primary key, generated as an identity column. Internal, not stable across releases."
id,varchar(50),-,no,,"type-dependent prefix: 'C-<n>' regular, 'CR-<n>' return, 'CP-<n>' pickup, e.g. 'C-42'","Customer identifier, unique within the instance. Referenced by raw_data.travel_matrices.start_location_id and .end_location_id, which address all location tables through one shared per-instance namespace. NOTE: the prefix encodes customer_type -- matching on id LIKE 'C-%' silently misses every return ('CR-') and pickup ('CP-') customer."
x_coordinate,double precision,-,no,,real,"Planar x coordinate. The scale is instance-set specific and carries NO dataset-wide unit -- it is NOT meters, it differs between publications, and values may be negative. The column has no unit comment in the database for exactly this reason. NOT a geographic coordinate and not georeferenced. Never derive a distance from coordinates; use raw_data.travel_matrices."
y_coordinate,double precision,-,no,,real,Planar y coordinate in the same frame as x_coordinate. Same caveats apply.
z_coordinate,double precision,[m],yes,,real,"Elevation above the frame's reference level. NULL for batches with flat topography; relevant for energy and emission computations on sloped terrain."
zone_restriction,text,-,yes,,"zone identifier matching metadata.instance_batches.low_emissions_zone_type","Access-restricted zone (for example a low-emission zone) containing this customer. NULL means unrestricted. Where set, a truck may be barred from the location while a robot is not."
customer_type,varchar(50),-,no,,"Regular, Return, Pickup","Kind of request. Determines which demand columns carry meaning: a regular delivery populates parcel_demand with parcel_origin_id = 'DP'; a pickup request carries a pickup location id in parcel_origin_id; a return request is collected from the customer. Also determines the id prefix (C-, CR-, CP-). Open set: further values may appear in later releases."
priority,integer,[-],yes,,"positive integer, higher means more urgent","Service priority of the customer. NULL for batches with homogeneous customer priorities, i.e. where priority is not a distinguishing factor of the experimental design."
parcel_demand,integer,[-],yes,,positive integer,Number of parcels requested by this customer. NULL where the batch does not model parcel counts.
parcel_weight,double precision,[kg],yes,,non-negative,"Total weight of the customer's parcels. NULL for batches in which weight is not modeled -- do not coalesce to 0, since a load-dependent emission model would then treat the vehicle as empty."
served_by,varchar(50),-,yes,,"Robot, Truck, Optional","Vehicle class eligible to serve this customer. 'Optional' means either vehicle may serve it. IMPORTANT: the unconstrained case is encoded as the literal string 'Optional', NOT as NULL -- code that tests for NULL to detect an unconstrained customer may classify every customer as constrained."
time_window_start,double precision,[s],yes,,non-negative,"Earliest permitted service start, relative to the start of the planning horizon (t = 0, corresponding to 08:00). NOT a time of day. NULL means the batch models no customer time windows -- do not coalesce to 0, which would force service at the horizon start."
time_window_end,double precision,[s],yes,,non-negative,"Latest permitted service start (the deadline), relative to the start of the planning horizon. Derived from the direct depot-to-customer travel time times a multiplier drawn from metadata.instance_batches.deadline_multiplicator where time_windows_customers = 'Depot Dependent'. NULL means no time window applies."
instance_key,integer,-,no,FK,references metadata.instances(key),Instance this customer belongs to. ON DELETE CASCADE.
parcel_origin_id,varchar(50),-,yes,,"location id: 'DP' for the truck depot, a pickup location id 'P-<n>', or a return-customer id 'CR-<n>'","Location at which this customer's parcel originates. 'DP' for standard deliveries out of the depot; a pickup location id for pickup-and-delivery requests; a return-customer id for return requests. NULL where the batch does not model parcel origins."
